Wordfreq,Word,Transcription,Pos,Phonotactic probability,Lemma,Lemfreq,Lem_trans
212390.0,although,ɔː.l.ð.o.ʊ,c,0.0072031143954089626,although,212390.0,ɔː.l.ð.o.ʊ
14986.0,altogether,ɔː.l.t.ə.ɡ.ɛ.ð.ɚ,r,0.009915350080099082,altogether,14986.0,ɔː.l.t.ə.ɡ.ɛ.ð.ɚ
565094.0,another,ɐ.n.ʌ.ð.ɚ,d,0.02042584859841063,another,565094.0,ɐ.n.ʌ.ð.ɚ
30791.0,another,ɐ.n.ʌ.ð.ɚ,p,0.02042584859841063,another,30791.0,ɐ.n.ʌ.ð.ɚ
76.0,any-thing,ɛ.n.i.θ.ɪ.ŋ,p,0.02696251728512821,anything,384508.0,ɛ.n.ɪ.θ.ɪ.ŋ
384431.0,anything,ɛ.n.ɪ.θ.ɪ.ŋ,p,0.028247521646246877,anything,384508.0,ɛ.n.ɪ.θ.ɪ.ŋ
12946.0,athlete,æ.θ.l.iː.t,n,0.009735451272511103,athlete,40094.0,æ.θ.l.iː.t
27148.0,athletes,æ.θ.l.iː.t.s,n,0.010983693262735985,athlete,40094.0,æ.θ.l.iː.t
19650.0,athletic,æ.θ.l.ɛ.ɾ.ɪ.k,j,0.00878283898223441,athletic,19650.0,æ.θ.l.ɛ.ɾ.ɪ.k
103950.0,author,ɔː.θ.ɚ,n,0.01754199537610098,author,142352.0,ɔː.θ.ɚ
40382.0,authorities,ɐ.θ.ɔː.ɹ.ɪ.ɾ.i.z,n,0.019552391900088117,authority,105586.0,ɐ.θ.ɔː.ɹ.ɪ.ɾ.i
65204.0,authority,ɐ.θ.ɔː.ɹ.ɪ.ɾ.i,n,0.014552283991070183,authority,105586.0,ɐ.θ.ɔː.ɹ.ɪ.ɾ.i
3073.0,authorize,ɔː.θ.ɚ.ɹ.aɪ.z,v,0.02129592153290109,authorize,13916.0,ɔː.θ.ɚ.ɹ.aɪ.z
8114.0,authorized,ɔː.θ.ɚ.ɹ.aɪ.z.d,v,0.019993887660071326,authorize,13916.0,ɔː.θ.ɚ.ɹ.aɪ.z
996.0,authorizes,ɔː.θ.ɚ.ɹ.aɪ.z.ᵻ.z,v,0.019430032607550867,authorize,13916.0,ɔː.θ.ɚ.ɹ.aɪ.z
1733.0,authorizing,ɔː.θ.ɚ.ɹ.aɪ.z.ɪ.ŋ,v,0.02671927513099164,authorize,13916.0,ɔː.θ.ɚ.ɹ.aɪ.z
38402.0,authors,ɔː.θ.ɚ.z,n,0.01493454984144664,author,142352.0,ɔː.θ.ɚ
12685.0,bath,b.æ.θ,n,0.025725647096356958,bath,15725.0,b.æ.θ
17.0,bath-room,b.æ.θ.ɹ.uː.m,n,0.01833626446260434,bathroom,38712.0,b.æ.θ.ɹ.uː.m
35058.0,bathroom,b.æ.θ.ɹ.uː.m,n,0.01833626446260434,bathroom,38712.0,b.æ.θ.ɹ.uː.m
3633.0,bathrooms,b.æ.θ.ɹ.uː.m.z,n,0.017326895998598348,bathroom,38712.0,b.æ.θ.ɹ.uː.m
3040.0,baths,b.æ.θ.s,n,0.02775663323301794,bath,15725.0,b.æ.θ
34337.0,beneath,b.ᵻ.n.iː.θ,i,0.0043069410095193505,beneath,34337.0,b.ᵻ.n.iː.θ
56911.0,birth,b.ɜː.θ,n,0.01649411778553475,birth,60673.0,b.ɜː.θ
40376.0,birthday,b.ɜː.θ.d.eɪ,n,0.01866770470947604,birthday,42727.0,b.ɜː.θ.d.eɪ
2351.0,birthdays,b.ɜː.θ.d.eɪ.z,n,0.016296900255365766,birthday,42727.0,b.ɜː.θ.d.eɪ
3762.0,births,b.ɜː.θ.s,n,0.021602280359136472,birth,60673.0,b.ɜː.θ
10469.0,booth,b.uː.θ,n,0.01080715902623165,booth,13234.0,b.uː.θ
2765.0,booths,b.uː.θ.s,n,0.017810974519601074,booth,13234.0,b.uː.θ
338454.0,both,b.o.ʊ.θ,d,0.01315606506781572,both,338454.0,b.o.ʊ.θ
244397.0,both,b.o.ʊ.θ,r,0.01315606506781572,both,244397.0,b.o.ʊ.θ
23979.0,bother,b.ɑː.ð.ɚ,v,0.0504043066001131,bother,45596.0,b.ɑː.ð.ɚ
11485.0,bothered,b.ɑː.ð.ɚ.d,v,0.040585073300638354,bother,45596.0,b.ɑː.ð.ɚ
5324.0,bothering,b.ɑː.ð.ɚ.ɹ.ɪ.ŋ,v,0.04995521703416186,bother,45596.0,b.ɑː.ð.ɚ
